,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
0,0,tensor(0.0355),200.0,0.32,0.5,0,0.0,0.0,1
1,1,tensor(0.1297),200.0,0.35,0.69,0,0.0,0.0,2
2,2,tensor(0.0970),200.0,0.67,1.2,0,0.0,0.0,3
3,3,tensor(0.2450),200.0,0.34,0.5,0,0.0,0.0,4
4,4,tensor(0.2318),193.8,1.93,1.76,4,0.0,0.0,5
5,5,tensor(0.3774),186.98,2.35,2.38,8,0.0,0.0,6
6,6,tensor(0.6677),169.67,3.15,3.23,19,0.0,0.0,7
7,7,tensor(0.6453),157.66,3.41,3.23,27,0.0,0.0,8
8,8,tensor(1.2367),167.69,3.05,3.12,21,0.0,0.0,9
9,9,tensor(1.2404),111.67,4.64,4.57,59,0.0,0.0,10
10,10,tensor(1.3636),108.63,4.7,4.6,61,0.0,0.0,11
11,11,tensor(1.7318),89.27,5.17,4.79,74,0.0,0.0,12
12,12,tensor(1.2160),86.15,5.11,4.74,75,0.0,0.0,13
13,13,tensor(0.9525),72.31,5.55,5.36,87,0.0,0.0,14
14,14,tensor(0.9951),81.78,5.32,4.52,79,0.0,0.0,15
15,15,tensor(1.1937),82.13,5.31,5.4,81,0.0,0.0,16
16,16,tensor(1.0363),75.89,5.56,5.26,85,0.0,0.0,17
17,17,tensor(1.1161),83.13,5.43,4.96,79,0.0,0.0,18
18,18,tensor(1.1992),81.94,5.38,4.65,78,0.0,0.0,19
19,19,tensor(1.0273),65.12,5.7,4.66,90,0.0,0.0,20
20,20,tensor(0.9463),58.72,5.86,5.0,95,0.0,0.0,21
21,21,tensor(0.6621),54.67,5.97,5.0,98,0.0,0.0,22
22,22,tensor(0.7842),60.98,5.74,5.28,94,0.0,0.0,23
23,23,tensor(0.7520),59.86,5.78,4.66,93,0.0,0.0,24
24,24,tensor(0.8227),62.25,5.83,5.05,93,0.0,0.0,25
25,25,tensor(1.0663),70.2,5.45,4.86,84,0.0,0.0,26
26,26,tensor(1.4410),74.95,5.45,4.67,81,0.0,0.0,27
27,27,tensor(0.9589),70.38,5.4,4.42,84,0.0,0.0,28
28,28,tensor(1.2844),70.78,5.54,4.76,84,0.0,0.0,29
29,29,tensor(1.3941),85.77,5.22,4.35,74,0.0,0.0,30
30,30,tensor(0.9147),62.29,5.68,4.04,89,0.0,0.0,31
31,31,tensor(1.0383),61.76,5.7,4.46,89,0.0,0.0,32
32,32,tensor(0.6213),50.3,5.91,4.58,97,0.0,0.0,33
33,33,tensor(0.7427),55.45,5.82,4.51,94,0.0,0.0,34
34,34,tensor(0.8088),54.35,5.83,4.65,94,0.0,0.0,35
35,35,tensor(0.6144),49.49,5.93,3.96,97,0.0,0.0,36
36,36,tensor(0.7341),54.06,5.87,4.32,95,0.0,0.0,37
37,37,tensor(0.9127),56.23,5.86,4.43,93,0.0,0.0,38
38,38,tensor(0.5274),48.13,5.97,4.45,98,0.0,0.0,39
39,39,tensor(0.7924),54.73,5.86,3.76,94,0.0,0.0,40
40,40,tensor(0.8908),55.99,5.84,4.16,93,0.0,0.0,41
41,41,tensor(1.0176),56.58,5.79,4.07,92,0.0,0.0,42
42,42,tensor(1.4643),73.85,5.37,4.01,81,0.0,0.0,43
43,43,tensor(1.0251),57.74,5.78,3.64,91,0.0,0.0,44
44,44,tensor(0.9136),59.59,5.8,3.92,93,0.0,0.0,45
45,45,tensor(0.7561),57.13,5.9,3.93,94,0.0,0.0,46
46,46,tensor(1.1765),61.5,5.66,3.31,89,0.0,0.0,47
47,47,tensor(0.5887),50.06,5.91,3.62,97,0.0,0.0,48
48,48,tensor(0.6223),52.0,5.9,3.26,96,0.0,0.0,49
49,49,tensor(0.7123),55.77,5.82,3.18,94,0.0,0.0,50
50,50,tensor(0.7455),53.02,5.81,3.43,94,0.0,0.0,51
51,51,tensor(0.5915),49.02,5.91,3.42,97,0.0,0.0,52
52,52,tensor(1.0962),66.74,5.51,3.86,86,0.0,0.0,53
53,53,tensor(0.7393),53.2,5.83,3.39,95,0.0,0.0,54
54,54,tensor(0.6017),49.27,5.92,3.66,97,0.0,0.0,55
55,55,tensor(1.1949),64.04,5.52,3.42,87,0.0,0.0,56
56,56,tensor(0.5939),49.66,5.92,3.41,97,0.0,0.0,57
57,57,tensor(0.6243),51.03,5.93,3.25,97,0.0,0.0,58
58,58,tensor(0.5195),49.27,5.97,3.39,98,0.0,0.0,59
59,59,tensor(0.6299),50.36,5.94,3.45,97,0.0,0.0,60
60,60,tensor(0.5877),49.7,5.92,3.18,97,0.0,0.0,61
61,61,tensor(0.6015),50.1,5.92,3.05,97,0.0,0.0,62
62,62,tensor(0.6571),52.04,5.88,3.18,96,0.0,0.0,63
63,63,tensor(0.6423),49.84,5.95,3.02,97,0.0,0.0,64
64,64,tensor(0.5163),48.39,5.97,3.11,98,0.0,0.0,65
65,65,tensor(0.5387),48.19,5.97,3.48,98,0.0,0.0,66
66,66,tensor(0.5590),51.92,5.95,3.02,97,0.0,0.0,67
67,67,tensor(0.8347),53.8,5.86,2.99,95,0.0,0.0,68
68,68,tensor(0.5195),48.2,5.97,3.34,98,0.0,0.0,69
69,69,tensor(0.5150),49.35,5.97,3.25,98,0.0,0.0,70
70,70,tensor(0.5284),47.61,5.97,3.61,98,0.0,0.0,71
71,71,tensor(0.5363),47.76,5.97,3.57,98,0.0,0.0,72
72,72,tensor(0.5349),47.04,5.97,3.62,98,0.0,0.0,73
73,73,tensor(0.5343),47.48,5.97,3.63,98,0.0,0.0,74
74,74,tensor(0.7467),52.39,5.81,3.16,95,0.0,0.0,75
75,75,tensor(0.5135),49.08,5.97,3.16,98,0.0,0.0,76
76,76,tensor(0.7079),53.42,5.89,3.34,95,0.0,0.0,77
77,77,tensor(0.5975),51.31,5.94,3.43,97,0.0,0.0,78
78,78,tensor(0.5149),49.48,5.97,3.49,98,0.0,0.0,79
79,79,tensor(0.6073),48.11,5.95,3.47,97,0.0,0.0,80
80,80,tensor(0.7077),49.99,5.91,3.61,96,0.0,0.0,81
81,81,tensor(0.6881),50.73,5.93,3.21,97,0.0,0.0,82
82,82,tensor(0.5880),49.4,5.91,3.37,97,0.0,0.0,83
83,83,tensor(0.5242),48.18,5.97,3.27,98,0.0,0.0,84
84,84,tensor(0.5480),48.03,5.97,3.55,98,0.0,0.0,85
85,85,tensor(0.7597),55.34,5.79,3.25,93,0.0,0.0,86
86,86,tensor(0.7626),51.01,5.92,3.27,96,0.0,0.0,87
87,87,tensor(0.6757),49.65,5.93,2.99,97,0.0,0.0,88
88,88,tensor(0.6808),49.35,5.93,3.21,97,0.0,0.0,89
89,89,tensor(0.5447),48.12,5.97,3.26,98,0.0,0.0,90
90,90,tensor(0.5321),47.3,5.97,3.28,98,0.0,0.0,91
91,91,tensor(0.5367),49.06,5.97,2.85,98,0.0,0.0,92
92,92,tensor(0.7874),47.85,5.94,3.05,97,0.0,0.0,93
93,93,tensor(1.0775),50.84,5.9,3.25,96,0.0,0.0,94
94,94,tensor(1.0760),58.28,5.79,3.15,91,0.0,0.0,95
95,95,tensor(1.0186),58.98,5.75,3.56,91,0.0,0.0,96
96,96,tensor(0.9760),62.47,5.73,3.71,89,0.0,0.0,97
97,97,tensor(1.5673),83.02,5.16,3.46,74,0.0,0.0,98
98,98,tensor(1.4881),73.49,5.41,3.93,81,0.0,0.0,99
99,99,tensor(0.8545),50.64,5.9,4.19,96,0.0,0.0,100
100,0,tensor(0.0398),200.0,0.31,0.56,0,0.0,0.5,1
101,1,tensor(0.0598),200.0,0.31,0.56,0,0.0,0.5,2
102,2,tensor(0.1153),200.0,0.78,1.21,0,0.0,0.5,3
103,3,tensor(0.2098),198.3,1.4,0.59,1,0.0,0.5,4
104,4,tensor(0.1667),198.43,1.35,0.37,1,0.0,0.5,5
105,5,tensor(0.1057),200.0,1.02,0.67,0,0.0,0.5,6
106,6,tensor(0.3376),191.31,2.1,0.51,5,0.0,0.5,7
107,7,tensor(0.2400),191.25,2.2,0.6,5,0.0,0.5,8
108,8,tensor(0.7612),194.86,1.58,0.42,3,0.0,0.5,9
109,9,tensor(0.5178),196.69,1.7,0.62,2,0.0,0.5,10
110,10,tensor(0.6533),169.74,2.82,1.19,19,0.0,0.5,11
111,11,tensor(1.3592),147.53,3.59,1.6,34,0.0,0.5,12
112,12,tensor(0.8167),137.91,4.02,1.88,41,0.0,0.5,13
113,13,tensor(1.2350),124.61,4.21,1.9,50,0.0,0.5,14
114,14,tensor(1.2053),107.55,4.66,2.02,61,0.0,0.5,15
115,15,tensor(1.9308),84.3,5.23,2.26,77,0.0,0.5,16
116,16,tensor(1.3525),84.04,5.17,2.35,76,0.0,0.5,17
117,17,tensor(1.5365),76.05,5.32,2.54,82,0.0,0.5,18
118,18,tensor(1.2317),83.05,5.35,2.6,77,0.0,0.5,19
119,19,tensor(0.9038),80.13,5.27,2.32,79,0.0,0.5,20
120,20,tensor(0.8539),60.32,5.8,2.68,92,0.0,0.5,21
121,21,tensor(1.1739),68.83,5.6,2.57,87,0.0,0.5,22
122,22,tensor(0.9816),76.91,5.4,2.26,81,0.0,0.5,23
123,23,tensor(1.0962),87.73,5.04,2.09,72,0.0,0.5,24
124,24,tensor(1.1238),86.64,5.11,2.14,74,0.0,0.5,25
125,25,tensor(0.9052),87.8,5.24,2.17,73,0.0,0.5,26
126,26,tensor(0.8876),65.06,5.58,2.07,88,0.0,0.5,27
127,27,tensor(0.9245),115.54,4.29,1.64,54,0.0,0.5,28
128,28,tensor(1.1969),65.93,5.6,2.29,88,0.0,0.5,29
129,29,tensor(0.9323),63.01,5.64,2.17,90,0.0,0.5,30
130,30,tensor(1.7028),73.98,5.45,2.21,82,0.0,0.5,31
131,31,tensor(1.1350),67.01,5.55,2.21,87,0.0,0.5,32
132,32,tensor(1.3921),63.99,5.59,2.16,88,0.0,0.5,33
133,33,tensor(1.2022),63.1,5.68,2.19,89,0.0,0.5,34
134,34,tensor(1.1281),68.35,5.53,2.14,86,0.0,0.5,35
135,35,tensor(1.2433),67.21,5.56,2.12,85,0.0,0.5,36
136,36,tensor(1.0288),79.55,5.38,2.17,78,0.0,0.5,37
137,37,tensor(1.2229),95.75,4.86,1.94,67,0.0,0.5,38
138,38,tensor(1.2268),71.31,5.45,2.33,83,0.0,0.5,39
139,39,tensor(0.9490),54.8,5.86,2.18,93,0.0,0.5,40
140,40,tensor(0.8180),58.28,5.75,2.1,91,0.0,0.5,41
141,41,tensor(0.6605),62.17,5.68,2.14,89,0.0,0.5,42
142,42,tensor(0.9869),60.7,5.76,2.15,90,0.0,0.5,43
143,43,tensor(0.8144),54.7,5.89,2.27,95,0.0,0.5,44
144,44,tensor(0.7817),58.19,5.8,2.21,92,0.0,0.5,45
145,45,tensor(0.7466),54.17,5.92,2.21,95,0.0,0.5,46
146,46,tensor(0.7595),53.86,5.92,2.3,95,0.0,0.5,47
147,47,tensor(0.8587),55.43,5.89,2.38,94,0.0,0.5,48
148,48,tensor(1.0289),55.61,5.86,2.18,93,0.0,0.5,49
149,49,tensor(1.1246),66.39,5.76,2.31,87,0.0,0.5,50
150,50,tensor(0.8616),62.01,5.79,2.29,90,0.0,0.5,51
151,51,tensor(0.8159),57.72,5.79,2.32,92,0.0,0.5,52
152,52,tensor(0.7706),62.26,5.72,2.18,89,0.0,0.5,53
153,53,tensor(1.6144),81.65,5.38,2.12,75,0.0,0.5,54
154,54,tensor(0.8771),64.39,5.76,2.38,88,0.0,0.5,55
155,55,tensor(0.8492),58.2,5.84,2.31,92,0.0,0.5,56
156,56,tensor(1.0638),107.68,4.65,1.71,58,0.0,0.5,57
157,57,tensor(1.0052),66.81,5.59,2.13,86,0.0,0.5,58
158,58,tensor(0.7954),64.5,5.74,2.26,87,0.0,0.5,59
159,59,tensor(0.9519),64.09,5.77,2.33,87,0.0,0.5,60
160,60,tensor(0.9637),61.84,5.84,2.43,89,0.0,0.5,61
161,61,tensor(0.6223),111.53,4.71,1.71,55,0.0,0.5,62
162,62,tensor(0.9689),71.91,5.57,2.09,82,0.0,0.5,63
163,63,tensor(0.8569),63.62,5.71,2.05,87,0.0,0.5,64
164,64,tensor(0.7124),55.1,5.91,2.11,94,0.0,0.5,65
165,65,tensor(1.1587),57.07,5.87,2.16,94,0.0,0.5,66
166,66,tensor(0.7968),57.05,5.83,1.98,92,0.0,0.5,67
167,67,tensor(0.8543),60.05,5.84,2.11,90,0.0,0.5,68
168,68,tensor(0.7759),50.61,5.97,2.13,97,0.0,0.5,69
169,69,tensor(1.1410),59.76,5.85,2.15,90,0.0,0.5,70
170,70,tensor(0.7279),51.63,5.97,2.18,97,0.0,0.5,71
171,71,tensor(0.8598),54.96,5.93,2.11,93,0.0,0.5,72
172,72,tensor(0.7612),55.61,5.88,2.27,94,0.0,0.5,73
173,73,tensor(0.7903),53.68,5.92,2.2,94,0.0,0.5,74
174,74,tensor(0.7381),53.4,5.93,2.24,95,0.0,0.5,75
175,75,tensor(0.8878),73.44,5.52,2.02,82,0.0,0.5,76
176,76,tensor(1.2134),73.99,5.31,1.95,82,0.0,0.5,77
177,77,tensor(1.3744),63.4,5.69,2.24,89,0.0,0.5,78
178,78,tensor(1.4301),85.0,5.18,1.89,74,0.0,0.5,79
179,79,tensor(0.8588),65.99,5.54,2.13,87,0.0,0.5,80
180,80,tensor(1.5124),70.33,5.47,2.07,84,0.0,0.5,81
181,81,tensor(1.1728),74.12,5.33,1.99,81,0.0,0.5,82
