,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
0,0,tensor(0.0608),200.0,0.82,1.03,0,0.0,0.0,1
1,1,tensor(0.1203),200.0,0.28,0.68,0,0.0,0.0,2
2,2,tensor(0.1843),191.46,2.05,1.04,5,0.0,0.0,3
3,3,tensor(0.1405),194.78,1.67,1.09,3,0.0,0.0,4
4,4,tensor(0.2324),194.68,1.84,1.25,3,0.0,0.0,5
5,5,tensor(0.3470),200.0,1.39,0.73,0,0.0,0.0,6
6,6,tensor(0.3405),191.39,2.33,1.74,5,0.0,0.0,7
7,7,tensor(0.2534),196.46,1.97,1.76,2,0.0,0.0,8
8,8,tensor(0.2865),194.8,1.91,1.9,3,0.0,0.0,9
9,9,tensor(0.3559),180.25,2.3,2.39,12,0.0,0.0,10
10,10,tensor(1.0601),175.23,2.67,2.92,15,0.0,0.0,11
11,11,tensor(1.1283),164.7,3.06,3.63,22,0.0,0.0,12
12,12,tensor(0.8801),148.46,3.33,3.99,33,0.0,0.0,13
13,13,tensor(2.0518),157.03,3.44,3.83,27,0.0,0.0,14
14,14,tensor(1.6682),104.92,4.73,5.21,64,0.0,0.0,15
15,15,tensor(1.5001),74.62,5.38,5.29,84,0.0,0.0,16
16,16,tensor(1.1158),67.21,5.63,5.01,89,0.0,0.0,17
17,17,tensor(1.2700),74.65,5.46,5.21,84,0.0,0.0,18
18,18,tensor(1.1174),69.42,5.53,5.06,86,0.0,0.0,19
19,19,tensor(1.6302),91.5,5.03,4.32,71,0.0,0.0,20
20,20,tensor(1.5108),63.08,5.69,4.81,91,0.0,0.0,21
21,21,tensor(1.5269),62.31,5.68,4.59,91,0.0,0.0,22
22,22,tensor(1.2375),64.63,5.64,4.37,90,0.0,0.0,23
23,23,tensor(1.3805),62.11,5.74,4.57,92,0.0,0.0,24
24,24,tensor(1.4365),63.99,5.58,4.27,90,0.0,0.0,25
25,25,tensor(2.0240),67.68,5.56,4.16,87,0.0,0.0,26
26,26,tensor(1.4674),73.43,5.53,4.36,84,0.0,0.0,27
27,27,tensor(1.4976),64.65,5.66,4.09,90,0.0,0.0,28
28,28,tensor(1.3279),57.68,5.85,4.33,94,0.0,0.0,29
29,29,tensor(1.4557),61.1,5.76,3.91,91,0.0,0.0,30
30,30,tensor(1.4456),60.13,5.7,3.96,92,0.0,0.0,31
31,31,tensor(1.2694),62.83,5.59,4.11,90,0.0,0.0,32
32,32,tensor(1.2942),62.18,5.76,4.23,91,0.0,0.0,33
33,33,tensor(1.0800),55.92,5.73,3.87,94,0.0,0.0,34
34,34,tensor(0.8436),54.89,5.84,3.81,95,0.0,0.0,35
35,35,tensor(1.0776),57.82,5.85,4.0,93,0.0,0.0,36
36,36,tensor(1.1635),56.08,5.79,3.87,93,0.0,0.0,37
37,37,tensor(1.2516),61.14,5.68,4.14,91,0.0,0.0,38
38,38,tensor(1.0552),56.01,5.73,3.94,93,0.0,0.0,39
39,39,tensor(1.2775),60.16,5.67,3.94,91,0.0,0.0,40
40,40,tensor(0.8907),51.55,5.87,3.64,96,0.0,0.0,41
41,41,tensor(1.6695),58.78,5.67,3.51,91,0.0,0.0,42
42,42,tensor(0.8876),51.89,5.88,3.68,96,0.0,0.0,43
43,43,tensor(1.2024),55.51,5.75,3.57,93,0.0,0.0,44
44,44,tensor(0.6371),49.21,5.91,3.65,97,0.0,0.0,45
45,45,tensor(1.2352),67.18,5.46,2.94,84,0.0,0.0,46
46,46,tensor(0.5164),46.46,5.99,3.26,99,0.0,0.0,47
47,47,tensor(0.8017),50.3,5.91,3.18,96,0.0,0.0,48
48,48,tensor(0.9730),51.55,5.87,3.39,96,0.0,0.0,49
