,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
0,0,tensor(0.1250),200.0,0.27,0.56,0,0.0,0.0,1
1,1,tensor(0.0702),200.0,0.95,0.54,0,0.0,0.0,2
2,2,tensor(0.1415),196.36,3.26,3.87,10,0.0,0.0,3
3,3,tensor(0.1426),196.46,3.31,3.56,7,0.0,0.0,4
4,4,tensor(0.2264),170.3,4.57,5.48,40,0.0,0.0,5
5,5,tensor(0.3182),190.07,3.94,4.48,14,0.0,0.0,6
6,6,tensor(0.4591),142.94,4.9,5.26,55,0.0,0.0,7
7,7,tensor(0.5262),90.07,5.94,5.67,96,0.0,0.0,8
8,8,tensor(0.5243),70.42,6.0,4.87,100,0.0,0.0,9
9,9,tensor(0.5638),68.44,6.0,5.02,100,0.0,0.0,10
10,10,tensor(0.4700),71.37,5.99,5.49,99,0.0,0.0,11
11,11,tensor(0.4583),60.48,6.0,4.63,100,0.0,0.0,12
12,12,tensor(0.4650),58.73,6.0,4.8,100,0.0,0.0,13
13,13,tensor(0.4239),56.7,6.0,4.08,100,0.0,0.0,14
14,14,tensor(0.4170),53.65,6.0,4.22,100,0.0,0.0,15
15,15,tensor(0.4106),53.39,6.0,3.71,100,0.0,0.0,16
16,16,tensor(0.4282),51.31,6.0,3.61,100,0.0,0.0,17
17,17,tensor(0.3946),52.06,6.0,3.7,100,0.0,0.0,18
18,18,tensor(0.4442),51.68,6.0,3.6,100,0.0,0.0,19
19,19,tensor(0.4050),53.44,6.0,4.09,100,0.0,0.0,20
20,20,tensor(0.3952),50.85,6.0,3.33,100,0.0,0.0,21
21,21,tensor(0.4163),53.86,6.0,3.61,100,0.0,0.0,22
22,22,tensor(0.4172),49.19,6.0,3.21,100,0.0,0.0,23
23,23,tensor(0.4185),53.53,6.0,3.72,100,0.0,0.0,24
24,24,tensor(0.4545),49.47,6.0,2.8,100,0.0,0.0,25
25,25,tensor(0.4392),53.29,6.0,3.42,100,0.0,0.0,26
26,26,tensor(0.3824),49.52,6.0,3.03,100,0.0,0.0,27
27,27,tensor(0.4377),49.13,6.0,3.08,100,0.0,0.0,28
28,28,tensor(0.4704),48.33,6.0,3.02,100,0.0,0.0,29
29,29,tensor(0.3959),51.03,6.0,3.33,100,0.0,0.0,30
30,30,tensor(0.4009),48.0,6.0,2.99,100,0.0,0.0,31
31,31,tensor(0.4417),46.77,6.0,3.16,100,0.0,0.0,32
32,32,tensor(0.3923),50.86,6.0,3.38,100,0.0,0.0,33
33,33,tensor(0.4347),48.65,6.0,3.17,100,0.0,0.0,34
34,34,tensor(0.3881),48.08,6.0,3.17,100,0.0,0.0,35
35,35,tensor(0.4717),47.03,6.0,3.24,100,0.0,0.0,36
36,36,tensor(0.4145),51.83,6.0,3.4,100,0.0,0.0,37
37,37,tensor(0.4253),52.65,6.0,3.67,100,0.0,0.0,38
38,38,tensor(0.4418),50.48,6.0,3.33,100,0.0,0.0,39
39,39,tensor(0.3875),51.23,6.0,3.56,100,0.0,0.0,40
40,40,tensor(0.4467),49.0,6.0,3.17,100,0.0,0.0,41
41,41,tensor(0.3904),51.26,6.0,3.52,100,0.0,0.0,42
42,42,tensor(0.4427),48.02,6.0,3.19,100,0.0,0.0,43
43,43,tensor(0.4139),49.73,6.0,3.44,100,0.0,0.0,44
44,44,tensor(0.4137),49.41,6.0,3.39,100,0.0,0.0,45
45,45,tensor(0.3887),49.74,6.0,3.5,100,0.0,0.0,46
46,46,tensor(0.4193),49.03,6.0,3.46,100,0.0,0.0,47
47,47,tensor(0.4519),48.62,6.0,3.43,100,0.0,0.0,48
48,48,tensor(0.4267),49.1,6.0,3.44,100,0.0,0.0,49
49,49,tensor(0.4558),50.43,6.0,3.44,100,0.0,0.0,50
50,50,tensor(0.3976),50.93,6.0,3.64,100,0.0,0.0,51
51,51,tensor(0.4524),47.32,6.0,2.93,100,0.0,0.0,52
52,52,tensor(0.4227),51.46,6.0,3.59,100,0.0,0.0,53
53,53,tensor(0.4104),49.58,6.0,3.48,100,0.0,0.0,54
54,54,tensor(0.3908),47.85,6.0,3.29,100,0.0,0.0,55
55,55,tensor(0.3999),48.8,6.0,3.2,100,0.0,0.0,56
56,56,tensor(0.4066),49.16,6.0,3.21,100,0.0,0.0,57
57,57,tensor(0.4408),48.92,6.0,3.55,100,0.0,0.0,58
58,58,tensor(0.3916),48.14,6.0,3.27,100,0.0,0.0,59
59,59,tensor(0.4030),45.92,6.0,2.87,100,0.0,0.0,60
60,60,tensor(0.5042),52.36,6.0,2.97,100,0.0,0.0,61
61,61,tensor(0.3759),47.85,6.0,2.98,100,0.0,0.0,62
62,62,tensor(0.4091),49.09,6.0,3.24,100,0.0,0.0,63
63,63,tensor(0.3952),48.98,6.0,3.03,100,0.0,0.0,64
64,64,tensor(0.4385),46.11,6.0,3.23,100,0.0,0.0,65
65,65,tensor(0.3656),49.01,6.0,3.81,100,0.0,0.0,66
66,66,tensor(0.3639),47.79,6.0,3.03,100,0.0,0.0,67
