,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
0,0,tensor(0.3540),67.24,2.44,3.29,67,0.0,0.0,1
1,1,tensor(0.3074),58.08,2.62,2.75,71,0.0,0.0,2
2,2,tensor(0.2922),15.08,3.0,1.43,100,0.0,0.0,3
3,3,tensor(0.4742),19.04,2.99,1.65,99,0.0,0.0,4
4,4,tensor(0.3632),13.28,3.0,1.34,100,0.0,0.0,5
5,5,tensor(0.3661),15.99,3.0,1.64,100,0.0,0.0,6
6,6,tensor(0.3380),14.54,3.0,1.64,100,0.0,0.0,7
7,7,tensor(0.3057),13.19,3.0,1.57,100,0.0,0.0,8
8,8,tensor(0.4123),14.86,2.99,1.47,99,0.0,0.0,9
9,9,tensor(0.4340),14.16,3.0,1.58,100,0.0,0.0,10
10,10,tensor(0.3055),16.54,3.0,1.66,100,0.0,0.0,11
11,11,tensor(0.2462),13.24,3.0,1.8,100,0.0,0.0,12
12,12,tensor(0.4017),14.09,3.0,1.68,100,0.0,0.0,13
13,13,tensor(0.2781),11.94,3.0,1.63,100,0.0,0.0,14
14,14,tensor(0.2581),12.54,3.0,1.83,100,0.0,0.0,15
15,15,tensor(0.3101),13.86,3.0,1.71,100,0.0,0.0,16
16,16,tensor(0.3071),13.7,3.0,1.5,100,0.0,0.0,17
17,17,tensor(0.2703),12.67,3.0,1.55,100,0.0,0.0,18
18,18,tensor(0.3379),13.61,3.0,1.69,100,0.0,0.0,19
19,19,tensor(0.3048),16.11,3.0,2.01,100,0.0,0.0,20
20,20,tensor(0.2799),12.15,3.0,1.8,100,0.0,0.0,21
21,21,tensor(0.2910),15.56,3.0,2.11,100,0.0,0.0,22
22,22,tensor(0.2811),11.89,3.0,1.59,100,0.0,0.0,23
23,23,tensor(0.3293),12.22,3.0,1.85,100,0.0,0.0,24
24,24,tensor(0.2580),11.91,3.0,1.6,100,0.0,0.0,25
25,25,tensor(0.2665),12.41,3.0,1.85,100,0.0,0.0,26
26,26,tensor(0.3050),14.19,3.0,1.94,100,0.0,0.0,27
27,27,tensor(0.2933),14.1,3.0,1.9,100,0.0,0.0,28
28,28,tensor(0.2717),12.5,3.0,1.52,100,0.0,0.0,29
29,29,tensor(0.2981),14.16,3.0,1.82,100,0.0,0.0,30
30,30,tensor(0.2755),12.88,3.0,1.48,100,0.0,0.0,31
31,31,tensor(0.2785),13.13,3.0,1.59,100,0.0,0.0,32
32,32,tensor(0.2560),14.71,3.0,1.84,100,0.0,0.0,33
33,33,tensor(0.2807),14.01,3.0,1.71,100,0.0,0.0,34
34,34,tensor(0.2883),13.75,3.0,1.88,100,0.0,0.0,35
35,35,tensor(0.2605),14.38,3.0,1.88,100,0.0,0.0,36
36,36,tensor(0.2641),13.38,3.0,1.79,100,0.0,0.0,37
37,37,tensor(0.2909),12.51,3.0,1.52,100,0.0,0.0,38
38,38,tensor(0.2592),12.27,3.0,1.74,100,0.0,0.0,39
39,39,tensor(0.3275),13.86,3.0,1.55,100,0.0,0.0,40
40,40,tensor(0.3102),13.24,3.0,1.53,100,0.0,0.0,41
41,41,tensor(0.3126),13.0,3.0,1.57,100,0.0,0.0,42
42,42,tensor(0.2650),12.73,3.0,1.4,100,0.0,0.0,43
43,43,tensor(0.2680),13.63,3.0,1.92,100,0.0,0.0,44
44,44,tensor(0.2620),12.75,3.0,1.64,100,0.0,0.0,45
45,45,tensor(0.3149),13.3,3.0,1.69,100,0.0,0.0,46
46,46,tensor(0.3250),14.85,3.0,1.71,100,0.0,0.0,47
47,47,tensor(0.2780),16.86,3.0,1.89,100,0.0,0.0,48
48,48,tensor(0.3032),13.37,3.0,1.53,100,0.0,0.0,49
49,49,tensor(0.3264),13.92,3.0,1.3,100,0.0,0.0,50
50,50,tensor(0.2885),12.01,3.0,1.57,100,0.0,0.0,51
51,51,tensor(0.3128),11.27,3.0,1.59,100,0.0,0.0,52
52,52,tensor(0.2764),12.65,3.0,1.74,100,0.0,0.0,53
53,53,tensor(0.2673),12.22,3.0,1.94,100,0.0,0.0,54
54,54,tensor(0.3094),13.09,3.0,1.93,100,0.0,0.0,55
55,55,tensor(0.3297),13.19,3.0,1.89,100,0.0,0.0,56
56,56,tensor(0.3071),14.21,3.0,1.98,100,0.0,0.0,57
