,index,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
0,0,101.0,0.3,0.47,0,0.0,0.0,1
1,1,100.06,0.38,0.66,1,0.0,0.0,2
2,2,100.06,0.38,0.66,1,0.0,0.0,3
3,3,101.0,0.21,0.42,0,0.0,0.0,4
4,4,101.0,0.3,0.47,0,0.0,0.0,5
5,5,100.06,0.38,0.66,1,0.0,0.0,6
6,6,101.0,0.21,0.42,0,0.0,0.0,7
7,7,101.0,0.21,0.42,0,0.0,0.0,8
8,8,100.06,0.42,0.67,1,0.0,0.0,9
9,9,101.0,0.21,0.42,0,0.0,0.0,10
10,10,101.0,0.22,0.41,0,0.0,0.0,11
11,11,100.06,0.37,0.58,1,0.0,0.0,12
12,12,101.0,0.35,0.71,0,0.0,0.0,13
13,13,97.36,0.41,0.65,4,0.0,0.0,14
14,14,99.15,0.34,0.7,2,0.0,0.0,15
15,15,98.3,0.56,0.95,3,0.0,0.0,16
16,16,99.16,0.45,0.77,2,0.0,0.0,17
17,17,97.3,0.62,0.87,4,0.0,0.0,18
18,18,94.53,0.65,0.91,7,0.0,0.0,19
19,19,100.11,0.48,0.73,1,0.0,0.0,20
20,20,99.2,0.41,0.68,2,0.0,0.0,21
21,21,91.96,0.76,0.87,10,0.0,0.0,22
22,22,88.77,0.93,1.2,14,0.0,0.0,23
23,23,80.16,1.33,1.67,24,0.0,0.0,24
24,24,65.05,1.78,2.01,43,0.0,0.0,25
25,25,51.8,2.11,1.92,59,0.0,0.0,26
26,26,65.02,1.7,1.27,41,0.0,0.0,27
27,27,42.57,2.29,1.55,67,0.0,0.0,28
28,28,46.03,2.28,1.39,62,0.0,0.0,29
29,29,39.62,2.44,1.3,69,0.0,0.0,30
30,30,38.96,2.46,1.36,70,0.0,0.0,31
31,31,30.8,2.52,1.23,78,0.0,0.0,32
32,32,24.41,2.72,1.29,86,0.0,0.0,33
33,33,23.54,2.67,1.31,87,0.0,0.0,34
34,34,28.85,2.66,1.32,81,0.0,0.0,35
35,35,28.55,2.72,1.2,81,0.0,0.0,36
36,36,21.66,2.78,1.31,89,0.0,0.0,37
37,37,22.56,2.75,1.31,88,0.0,0.0,38
38,38,28.73,2.71,1.35,81,0.0,0.0,39
39,39,17.73,2.86,1.3,93,0.0,0.0,40
40,40,27.37,2.65,1.26,82,0.0,0.0,41
41,41,21.97,2.76,1.03,88,0.0,0.0,42
42,42,26.25,2.7,1.01,83,0.0,0.0,43
43,43,20.86,2.82,1.1,89,0.0,0.0,44
44,44,21.88,2.78,1.14,88,0.0,0.0,45
45,45,22.51,2.78,1.01,87,0.0,0.0,46
46,46,17.22,2.87,1.05,93,0.0,0.0,47
47,47,18.06,2.86,1.09,92,0.0,0.0,48
48,48,25.85,2.69,0.96,83,0.0,0.0,49
49,49,22.39,2.76,1.06,87,0.0,0.0,50
50,50,16.15,2.9,1.05,94,0.0,0.0,51
51,51,17.12,2.92,1.04,93,0.0,0.0,52
52,52,16.13,2.91,1.06,94,0.0,0.0,53
53,53,17.37,2.88,1.0,93,0.0,0.0,54
54,54,20.65,2.79,0.95,89,0.0,0.0,55
55,55,16.98,2.85,0.96,93,0.0,0.0,56
56,56,17.88,2.81,0.96,92,0.0,0.0,57
57,57,18.57,2.87,0.99,91,0.0,0.0,58
58,58,13.28,2.95,1.0,97,0.0,0.0,59
59,59,16.83,2.89,1.05,93,0.0,0.0,60
60,60,17.62,2.85,0.94,92,0.0,0.0,61
61,61,21.13,2.8,0.97,88,0.0,0.0,62
62,62,17.47,2.85,0.94,92,0.0,0.0,63
63,63,13.15,2.96,0.94,97,0.0,0.0,64
64,64,17.72,2.88,0.99,92,0.0,0.0,65
65,65,15.64,2.88,0.9,94,0.0,0.0,66
66,66,11.97,2.97,0.96,98,0.0,0.0,67
67,67,15.51,2.92,0.87,94,0.0,0.0,68
68,68,13.67,2.94,0.93,96,0.0,0.0,69
69,69,12.8,2.97,0.95,97,0.0,0.0,70
70,70,15.48,2.94,0.93,94,0.0,0.0,71
71,71,14.54,2.92,0.94,95,0.0,0.0,72
72,72,13.66,2.96,0.97,96,0.0,0.0,73
73,73,11.99,2.98,0.91,98,0.0,0.0,74
74,74,11.88,2.96,0.85,98,0.0,0.0,75
75,75,11.81,2.97,0.73,98,0.0,0.0,76
76,76,15.89,2.9,0.96,94,0.0,0.0,77
77,77,12.52,2.95,0.83,97,0.0,0.0,78
78,78,13.53,2.92,0.77,96,0.0,0.0,79
79,79,11.81,2.96,0.89,98,0.0,0.0,80
80,80,11.85,2.98,0.74,98,0.0,0.0,81
81,81,11.11,2.97,0.86,99,0.0,0.0,82
82,82,13.82,2.92,0.86,96,0.0,0.0,83
83,83,14.88,2.93,0.85,95,0.0,0.0,84
84,84,10.99,2.99,0.73,99,0.0,0.0,85
85,85,13.6,2.95,0.76,96,0.0,0.0,86
86,86,10.08,3.0,0.83,100,0.0,0.0,87
87,87,13.49,2.93,0.77,96,0.0,0.0,88
88,88,11.89,2.98,0.81,98,0.0,0.0,89
89,89,13.57,2.95,0.89,96,0.0,0.0,90
90,90,11.73,2.96,0.77,98,0.0,0.0,91
91,91,11.67,2.96,0.86,98,0.0,0.0,92
92,92,11.74,2.96,0.71,98,0.0,0.0,93
93,93,12.55,2.96,0.83,97,0.0,0.0,94
94,94,10.99,2.97,0.83,99,0.0,0.0,95
95,95,12.58,2.94,0.82,97,0.0,0.0,96
96,96,10.99,2.99,0.75,99,0.0,0.0,97
97,97,11.71,2.97,0.73,98,0.0,0.0,98
98,98,11.61,2.98,0.8,98,0.0,0.0,99
99,99,12.44,2.97,0.74,97,0.0,0.0,100
100,0,101.0,0.28,0.59,0,0.0,0.25,1
101,1,101.0,0.3,0.47,0,0.0,0.25,2
102,2,100.06,0.38,0.66,1,0.0,0.25,3
103,3,101.0,0.21,0.41,0,0.0,0.25,4
104,4,101.0,0.3,0.47,0,0.0,0.25,5
105,5,101.0,0.3,0.47,0,0.0,0.25,6
106,6,100.06,0.38,0.66,1,0.0,0.25,7
107,7,101.0,0.3,0.47,0,0.0,0.25,8
108,8,101.0,0.25,0.59,0,0.0,0.25,9
109,9,101.0,0.22,0.4,0,0.0,0.25,10
110,10,101.0,0.3,0.47,0,0.0,0.25,11
111,11,100.06,0.38,0.66,1,0.0,0.25,12
112,12,100.05,0.24,0.54,1,0.0,0.25,13
113,13,100.05,0.23,0.56,1,0.0,0.25,14
114,14,100.13,0.27,0.59,1,0.0,0.25,15
115,15,101.0,0.29,0.71,0,0.0,0.25,16
116,16,100.12,0.3,0.65,1,0.0,0.25,17
117,17,100.11,0.38,0.7,1,0.0,0.25,18
118,18,98.27,0.49,0.6,3,0.0,0.25,19
119,19,100.06,0.28,0.63,1,0.0,0.25,20
120,20,99.09,0.47,0.76,2,0.0,0.25,21
121,21,99.19,0.53,0.75,2,0.0,0.25,22
122,22,96.44,0.81,0.77,5,0.0,0.25,23
123,23,93.02,0.89,0.94,9,0.0,0.25,24
124,24,96.6,0.7,0.76,5,0.0,0.25,25
125,25,87.41,1.21,0.91,15,0.0,0.25,26
126,26,82.96,1.2,0.84,20,0.0,0.25,27
127,27,70.26,1.65,1.08,35,0.0,0.25,28
128,28,64.54,1.7,1.18,41,0.0,0.25,29
129,29,52.53,2.08,1.06,54,0.0,0.25,30
130,30,48.19,2.22,1.04,59,0.0,0.25,31
131,31,40.68,2.48,0.94,67,0.0,0.25,32
132,32,29.11,2.55,0.98,80,0.0,0.25,33
133,33,39.47,2.38,0.83,68,0.0,0.25,34
134,34,27.98,2.65,0.96,81,0.0,0.25,35
135,35,31.24,2.63,0.84,77,0.0,0.25,36
136,36,24.26,2.75,0.85,85,0.0,0.25,37
137,37,28.5,2.62,0.8,80,0.0,0.25,38
138,38,20.68,2.8,0.86,89,0.0,0.25,39
139,39,19.9,2.77,0.91,90,0.0,0.25,40
140,40,20.29,2.81,0.84,89,0.0,0.25,41
141,41,21.3,2.78,0.68,88,0.0,0.25,42
142,42,23.03,2.72,0.67,86,0.0,0.25,43
143,43,21.35,2.77,0.7,88,0.0,0.25,44
144,44,20.51,2.81,0.81,89,0.0,0.25,45
145,45,27.43,2.64,0.63,81,0.0,0.25,46
146,46,20.41,2.87,0.68,89,0.0,0.25,47
147,47,19.38,2.86,0.74,90,0.0,0.25,48
