,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
0,0,tensor(0.1676),99.06,0.34,0.27,1,0.0,0.0,1
1,1,tensor(0.8367),62.08,1.89,1.04,42,0.0,0.0,2
2,2,tensor(1.2434),20.93,2.84,2.04,90,0.0,0.0,3
3,3,tensor(1.6836),36.07,2.53,1.76,72,0.0,0.0,4
4,4,tensor(0.8224),15.42,2.93,1.61,96,0.0,0.0,5
5,5,tensor(1.3341),20.63,2.8,1.44,89,0.0,0.0,6
6,6,tensor(1.5306),21.32,2.8,1.53,89,0.0,0.0,7
7,7,tensor(1.7255),32.35,2.6,1.51,76,0.0,0.0,8
8,8,tensor(0.6105),12.47,2.97,1.66,99,0.0,0.0,9
9,9,tensor(0.7314),14.02,2.94,1.58,97,0.0,0.0,10
10,0,tensor(0.1003),98.1,0.61,0.87,2,0.0,0.5,1
11,1,tensor(1.0442),62.02,1.96,0.86,42,0.0,0.5,2
12,2,tensor(1.2360),43.46,2.27,0.9,63,0.0,0.5,3
13,3,tensor(1.5154),31.82,2.6,1.23,77,0.0,0.5,4
14,4,tensor(0.9232),38.27,2.49,1.14,69,0.0,0.5,5
15,5,tensor(1.1828),20.6,2.87,1.36,90,0.0,0.5,6
16,6,tensor(0.8944),19.11,2.9,1.57,93,0.0,0.5,7
17,7,tensor(1.2738),21.06,2.84,1.44,91,0.0,0.5,8
18,8,tensor(0.5185),13.5,2.99,1.55,99,0.0,0.5,9
19,9,tensor(0.2670),12.68,3.0,1.46,100,0.0,0.5,10
20,0,tensor(0.1585),100.0,0.32,0.39,0,0.0,1.0,1
21,1,tensor(0.4709),73.82,1.76,1.2,29,0.0,1.0,2
22,2,tensor(1.4127),43.58,2.28,1.8,66,0.0,1.0,3
23,3,tensor(0.7680),47.07,2.26,1.19,60,0.0,1.0,4
24,4,tensor(2.4333),35.04,2.53,1.6,75,0.0,1.0,5
25,5,tensor(1.7186),24.95,2.78,1.81,87,0.0,1.0,6
26,6,tensor(1.5361),22.54,2.81,1.79,89,0.0,1.0,7
27,7,tensor(0.8146),15.5,2.96,1.86,98,0.0,1.0,8
28,8,tensor(3.0331),38.78,2.44,1.22,69,0.0,1.0,9
29,9,tensor(1.6272),28.55,2.67,1.49,82,0.0,1.0,10
